transaction_id,transaction_date,product_id,product_code,product_description,quantity,account_id
T20250414-00000,2024-04-14,217,30,Produto G748,1,1114
T20250414-00001,2025-01-04,264,11,Produto P61,11,1000
T20250414-00002,2023-01-23,253,36,Produto S238,9,1057
T20250414-00003,2024-09-14,229,17,Produto N361,4,1167
T20250414-00004,2024-01-04,284,48,Produto C512,15,1298
T20250414-00005,2024-07-20,252,25,Produto P399,14,1022
T20250414-00006,2023-09-15,293,45,Produto I337,3,1304
T20250414-00007,2023-05-29,222,34,Produto B606,12,1245
T20250414-00008,2023-08-24,281,44,Produto C383,5,1007
T20250414-00009,2024-07-20,279,30,Produto W458,1,1255
T20250414-00010,2023-09-17,285,29,Produto H688,15,1019
T20250414-00011,2024-12-16,215,39,Produto S284,11,1491
T20250414-00012,2023-07-04,283,47,Produto Q498,17,1398
T20250414-00013,2023-07-26,222,34,Produto B606,4,1370
T20250414-00014,2024-01-11,202,7,Produto E827,17,1215
T20250414-00015,2024-08-12,217,30,Produto G748,5,1142
T20250414-00016,2024-06-15,259,19,Produto Y316,11,1182
T20250414-00017,2023-03-23,215,39,Produto S284,10,1320
T20250414-00018,2025-01-13,277,26,Produto K965,10,1435
T20250414-00019,2024-06-06,262,39,Produto Y699,18,1311
T20250414-00020,2025-01-10,259,19,Produto Y316,15,1327
T20250414-00021,2025-01-27,218,20,Produto M874,8,1380
T20250414-00022,2025-03-08,288,5,Produto T983,9,1499
T20250414-00023,2023-09-23,263,12,Produto O924,11,1496
T20250414-00024,2023-07-21,265,8,Produto W591,2,1124
T20250414-00025,2024-11-08,298,33,Produto B166,16,1212
T20250414-00026,2024-11-12,275,10,Produto U483,20,1210
T20250414-00027,2025-01-09,276,42,Produto I491,7,1155
T20250414-00028,2023-02-26,286,49,Produto Y824,5,1051
T20250414-00029,2023-11-18,247,4,Produto K333,9,1149
T20250414-00030,2023-12-30,280,44,Produto A726,2,1306
T20250414-00031,2023-10-05,250,46,Produto Q690,18,1127
T20250414-00032,2024-07-08,240,26,Produto H916,7,1262
T20250414-00033,2024-09-20,200,20,Produto Z769,14,1219
